country name,"Government expenditure per student,Primary,% of GDP per capita,1999","Government expenditure per student,Primary,% of GDP per capita,2017","Government expenditure per student,Secondary,% of GDP per capita,1999","Government expenditure per student,Secondary,% of GDP per capita,2017","Government expenditure per student,Tertiary,% of GDP per capita,1999","Government expenditure per student,Tertiary,% of GDP per capita,2017","Government expenditure on education,% of GDP,2017","Government expenditure on education,% of total government expenditure,2017","Trained teachers,Primary,% of total,2017","Trained teachers,Secondary,% of total,2017","Pupil-teacher ratio,Primary,pupils per teacher,2017","Pupil-teacher ratio,Secondary,pupils per teacher,2017",Government expenditure per student Primary,Government expenditure per student Primary,Government expenditure per student Secondary,Government expenditure per student Secondary,Government expenditure per student Tertiary,Government expenditure per student Tertiary,Government expenditure on education Unnamed: 7_level_1,Government expenditure on education 2014-2017,Trained teachers 2014-2017,Trained teachers 2014-2017,Pupil-teacher ratio 2014-2017,Pupil-teacher ratio 2014-2017
Chad,9.4,..,29.4,..,442.1,..,..,..,..,44.0,57,27,9.4,..,29.4,..,442.1,..,..,..,..,44.0,57,27
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,13.8,18.0,14.2,18.2,18.5,19.7,5.4,21.2,..,..,18,18,13.8,18.0,14.2,18.2,18.5,19.7,5.4,21.2,..,..,18,18
China,5.9,..,11.4,..,89.1,..,..,..,..,..,17,13,5.9,..,11.4,..,89.1,..,..,..,..,..,17,13
"Hong Kong SAR, China",12.2,14.9,..,22.2,..,23.0,3.3,17.8,96.9,97.2,14,12,12.2,14.9,..,22.2,..,23.0,3.3,17.8,96.9,97.2,14,12
"Macao SAR, China",7.5,..,10.1,39.9,53.6,23.2,3.1,..,98.2,90.7,14,10,7.5,..,10.1,39.9,53.6,23.2,3.1,..,98.2,90.7,14,10
Colombia,15.5,18.1,16.4,17.5,38.4,16.3,4.4,15.2,94.7,98.3,24,26,15.5,18.1,16.4,17.5,38.4,16.3,4.4,15.2,94.7,98.3,24,26
Comoros,9.2,..,..,..,..,..,4.3,15.3,..,..,19,5,9.2,..,..,..,..,..,4.3,15.3,..,..,19,5
"Congo, Dem. Rep.",..,..,..,..,..,..,1.5,11.7,..,..,33,14,..,..,..,..,..,..,1.5,11.7,..,..,33,14
"Congo, Rep.",..,..,..,..,..,..,4.6,8.0,..,..,..,..,..,..,..,..,..,..,4.6,8.0,..,..,..,..
Costa Rica,17.3,24.7,23.9,23.9,..,38.9,7.4,..,93.8,96.2,12,13,17.3,24.7,23.9,23.9,..,38.9,7.4,..,93.8,96.2,12,13
Cote d'Ivoire,14.6,13.4,42.0,23.5,143.6,123.6,4.4,18.6,100.0,100.0,42,26,14.6,13.4,42.0,23.5,143.6,123.6,4.4,18.6,100.0,100.0,42,26
Croatia,..,..,..,..,35.4,..,..,..,..,..,14,7,..,..,..,..,35.4,..,..,..,..,..,14,7
Cuba,25.1,..,37.2,..,77.9,..,..,..,100.0,100.0,9,9,25.1,..,37.2,..,77.9,..,..,..,100.0,100.0,9,9
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,15.8,32.2,26.0,39.4,44.1,29.3,6.4,16.3,..,..,12,10,15.8,32.2,26.0,39.4,44.1,29.3,6.4,16.3,..,..,12,10
Czech Republic,10.4,14.9,20.1,23.7,31.3,21.0,5.8,13.9,..,..,..,..,10.4,14.9,20.1,23.7,31.3,21.0,5.8,13.9,..,..,..,..
Denmark,24.1,..,37.3,..,64.4,..,..,..,..,..,..,..,24.1,..,37.3,..,64.4,..,..,..,..,..,..,..
Djibouti,41.8,37.9,..,0.7,..,..,..,..,100.0,100.0,30,23,41.8,37.9,..,0.7,..,..,..,..,100.0,100.0,30,23
Dominica,..,15.0,..,19.2,..,..,3.4,10.5,65.7,48.6,13,11,..,15.0,..,19.2,..,..,3.4,10.5,65.7,48.6,13,11
Dominican Republic,..,14.9,..,19.1,..,..,..,..,94.9,89.9,19,19,..,14.9,..,19.1,..,..,..,..,94.9,89.9,19,19
Ecuador,3.8,9.6,8.3,5.3,..,52.5,5.0,12.6,82.3,74.1,25,22,3.8,9.6,8.3,5.3,..,52.5,5.0,12.6,82.3,74.1,25,22
"Egypt, Arab Rep.",..,10.0,..,14.0,..,..,..,..,74.1,67.3,24,15,..,10.0,..,14.0,..,..,..,..,74.1,67.3,24,15
El Salvador,9.3,15.7,8.2,15.1,9.8,12.1,3.8,15.6,95.4,92.6,28,28,9.3,15.7,8.2,15.1,9.8,12.1,3.8,15.6,95.4,92.6,28,28
Equatorial Guinea,..,..,..,..,..,..,..,..,37.2,..,23,..,..,..,..,..,..,..,..,..,37.2,..,23,..
Eritrea,12.6,..,31.3,..,361.2,..,..,..,40.9,..,39,37,12.6,..,31.3,..,361.2,..,..,..,40.9,..,39,37
Estonia,21.0,17.9,27.4,18.1,32.0,33.6,5.2,13.0,..,..,11,9,21.0,17.9,27.4,18.1,32.0,33.6,5.2,13.0,..,..,11,9
Eswatini,8.3,..,23.1,..,433.8,..,..,..,70.0,73.2,27,16,8.3,..,23.1,..,433.8,..,..,..,70.0,73.2,27,16
Ethiopia,18.9,7.8,..,16.6,615.5,..,4.7,27.1,..,..,..,..,18.9,7.8,..,16.6,615.5,..,4.7,27.1,..,..,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,90.1,..,20,..,..,..,..,..,..,..,..,..,90.1,..,20,..
Finland,16.8,22.0,24.9,25.8,39.0,34.6,7.1,12.4,..,..,13,13,16.8,22.0,24.9,25.8,39.0,34.6,7.1,12.4,..,..,13,13
France,17.5,17.5,28.8,26.5,30.0,33.0,5.5,9.6,..,..,..,..,17.5,17.5,28.8,26.5,30.0,33.0,5.5,9.6,..,..,..,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",4.7,..,..,..,..,..,3.1,10.4,87.7,94.9,39,..,4.7,..,..,..,..,..,3.1,10.4,87.7,94.9,39,..
Georgia,..,..,..,..,..,9.9,3.8,13.0,..,..,9,7,..,..,..,..,..,9.9,3.8,13.0,..,..,9,7
Germany,16.5,17.5,20.1,23.0,..,34.0,4.8,11.0,..,..,12,12,16.5,17.5,20.1,23.0,..,34.0,4.8,11.0,..,..,12,12
Ghana,17.7,..,39.9,..,..,..,4.5,20.1,55.4,76.2,27,16,17.7,..,39.9,..,..,..,4.5,20.1,55.4,76.2,27,16
Greece,..,19.7,14.4,22.6,24.5,9.2,..,..,..,..,9,8,..,19.7,14.4,22.6,24.5,9.2,..,..,..,..,9,8
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,..,47.5,..,28.1,..,11.6,10.3,42.8,64.1,44.6,16,12,..,47.5,..,28.1,..,11.6,10.3,42.8,64.1,44.6,16,12
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,6.9,11.4,4.4,5.1,..,18.1,2.8,23.1,..,..,20,11,6.9,11.4,4.4,5.1,..,18.1,2.8,23.1,..,..,20,11
Guinea,..,7.1,..,..,..,..,2.2,13.4,75.4,..,47,..,..,7.1,..,..,..,..,2.2,13.4,75.4,..,47,..
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,..,..,..,..,..,..,6.3,18.3,..,..,..,..,..,..,..,..,..,..,6.3,18.3,..,..,..,..
Haiti,..,..,..,..,..,..,2.4,13.1,..,..,..,..,..,..,..,..,..,..,2.4,13.1,..,..,..,..
Honduras,..,..,..,..,..,40.3,6.0,22.0,..,..,26,17,..,..,..,..,..,40.3,6.0,22.0,..,..,26,17
Hungary,17.6,18.7,18.6,21.2,33.5,21.3,4.6,9.1,..,..,11,10,17.6,18.7,18.6,21.2,33.5,21.3,4.6,9.1,..,..,11,10
Iceland,21.5,23.3,18.7,20.8,38.3,25.4,7.7,18.2,..,..,10,..,21.5,23.3,18.7,20.8,38.3,25.4,7.7,18.2,..,..,10,..
India,12.3,..,25.6,..,97.9,..,..,..,69.8,..,35,28,12.3,..,25.6,..,97.9,..,..,..,69.8,..,35,28
Indonesia,..,13.3,..,10.5,24.1,..,3.6,20.5,..,..,16,15,..,13.3,..,10.5,24.1,..,3.6,20.5,..,..,16,15
"Iran, Islamic Rep.",8.7,11.2,9.4,17.7,33.2,18.3,3.8,20.0,100.0,97.5,29,19,8.7,11.2,9.4,17.7,33.2,18.3,3.8,20.0,100.0,97.5,29,19
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,10.8,11.9,16.4,16.5,27.9,18.4,3.8,13.0,..,..,..,..,10.8,11.9,16.4,16.5,27.9,18.4,3.8,13.0,..,..,..,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,21.1,21.4,18.7,18.7,29.2,19.3,5.9,15.0,..,..,12,..,21.1,21.4,18.7,18.7,29.2,19.3,5.9,15.0,..,..,12,..
Italy,23.1,21.7,26.7,22.9,26.5,25.3,4.1,8.1,..,..,11,10,23.1,21.7,26.7,22.9,26.5,25.3,4.1,8.1,..,..,11,10
Jamaica,..,23.0,..,26.7,71.8,35.8,5.3,18.4,96.2,100.0,22,15,..,23.0,..,26.7,71.8,35.8,5.3,18.4,96.2,100.0,22,15
Japan,..,..,..,..,..,..,3.5,9.1,..,..,16,11,..,..,..,..,..,..,3.5,9.1,..,..,16,11
Jordan,14.6,13.3,16.9,17.0,77.1,22.8,3.6,12.5,100.0,100.0,21,11,14.6,13.3,16.9,17.0,77.1,22.8,3.6,12.5,100.0,100.0,21,11
Kazakhstan,..,0.3,22.0,20.2,..,8.8,2.9,11.4,100.0,100.0,21,7,..,0.3,22.0,20.2,..,8.8,2.9,11.4,100.0,100.0,21,7
Kenya,21.5,10.8,14.4,..,208.8,75.3,5.2,17.6,..,..,31,..,21.5,10.8,14.4,..,208.8,75.3,5.2,17.6,..,..,31,..
Kiribati,27.1,..,..,..,..,..,..,..,72.7,..,25,..,27.1,..,..,..,..,..,..,..,72.7,..,25,..
"Korea, Dem. Peopleâs Rep.",..,..,..,..,..,..,..,..,..,..,20,17,..,..,..,..,..,..,..,..,..,..,20,17
"Korea, Rep.",16.9,30.4,14.4,28.5,7.7,15.3,5.3,..,..,..,16,14,16.9,30.4,14.4,28.5,7.7,15.3,5.3,..,..,..,16,14
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,17.9,..,..,..,97.3,..,..,..,78.9,..,9,8,17.9,..,..,..,97.3,..,..,..,78.9,..,9,8
Kyrgyz Republic,..,..,..,..,24.2,4.8,7.2,18.6,95.4,74.8,25,10,..,..,..,..,24.2,4.8,7.2,18.6,95.4,74.8,25,10
Lao PDR,5.8,..,18.2,..,69.8,..,..,..,97.0,95.8,22,18,5.8,..,18.2,..,69.8,..,..,..,97.0,95.8,22,18
Latvia,18.9,26.4,23.0,24.8,27.0,23.9,5.3,14.1,..,..,11,8,18.9,26.4,23.0,24.8,27.0,23.9,5.3,14.1,..,..,11,8
Lebanon,..,..,..,..,..,..,..,..,..,..,12,8,..,..,..,..,..,..,..,..,..,..,12,8
Lesotho,30.7,21.6,68.4,31.3,771.3,..,6.4,13.8,86.5,88.9,33,25,30.7,21.6,68.4,31.3,771.3,..,6.4,13.8,86.5,88.9,33,25
Liberia,..,..,..,..,..,..,3.8,7.1,47.0,61.7,27,15,..,..,..,..,..,..,3.8,7.1,47.0,61.7,27,15
Libya,..,..,..,..,20.4,..,..,..,..,..,..,..,..,..,..,..,20.4,..,..,..,..,..,..,..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,8,10,..,..,..,..,..,..,..,..,..,..,8,10
Lithuania,..,18.3,..,17.1,33.8,18.5,4.2,12.3,..,..,13,8,..,18.3,..,17.1,33.8,18.5,4.2,12.3,..,..,13,8
Luxembourg,..,19.5,..,19.2,..,42.3,3.9,9.4,..,..,8,9,..,19.5,..,19.2,..,42.3,3.9,9.4,..,..,8,9
Madagascar,5.9,..,..,..,154.4,37.9,..,..,14.8,20.8,41,20,5.9,..,..,..,154.4,37.9,..,..,14.8,20.8,41,20
Malawi,13.5,8.6,9.7,25.2,2525.7,..,4.0,14.3,..,..,70,38,13.5,8.6,9.7,25.2,2525.7,..,4.0,14.3,..,..,70,38
Malaysia,12.4,16.4,21.7,23.0,80.8,25.2,4.7,21.1,98.9,98.2,12,12,12.4,16.4,21.7,23.0,80.8,25.2,4.7,21.1,98.9,98.2,12,12
Maldives,..,15.1,..,..,..,..,4.3,11.3,90.1,..,10,..,..,15.1,..,..,..,..,4.3,11.3,90.1,..,10,..
Mali,11.1,9.3,43.4,20.3,186.6,165.0,3.1,13.9,..,..,38,17,11.1,9.3,43.4,20.3,186.6,165.0,3.1,13.9,..,..,38,17
Malta,11.0,23.1,19.8,29.9,42.1,44.9,5.3,13.2,..,..,13,7,11.0,23.1,19.8,29.9,42.1,44.9,5.3,13.2,..,..,13,7
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,10.1,10.5,32.6,14.6,88.2,98.9,2.6,9.3,84.8,97.2,36,24,10.1,10.5,32.6,14.6,88.2,98.9,2.6,9.3,84.8,97.2,36,24
Mauritius,9.3,15.7,14.2,32.0,25.4,9.7,5.0,19.9,100.0,55.3,18,13,9.3,15.7,14.2,32.0,25.4,9.7,5.0,19.9,100.0,55.3,18,13
Mexico,9.7,14.9,11.8,15.6,39.8,37.6,5.2,19.0,96.6,92.1,27,17,9.7,14.9,11.8,15.6,39.8,37.6,5.2,19.0,96.6,92.1,27,17
"Micronesia, Fed. Sts.",..,..,..,..,..,..,12.5,22.3,..,..,20,..,..,..,..,..,..,..,12.5,22.3,..,..,20,..
Moldova,..,38.4,..,36.3,..,36.4,6.7,18.3,99.1,98.2,18,10,..,38.4,..,36.3,..,36.4,6.7,18.3,99.1,98.2,18,10
Monaco,3.2,..,6.9,..,..,..,1.4,..,..,..,10,9,3.2,..,6.9,..,..,..,1.4,..,..,..,10,9
Mongolia,..,12.9,29.1,..,33.3,3.1,4.1,13.5,100.0,98.1,30,..,..,12.9,29.1,..,33.3,3.1,4.1,13.5,100.0,98.1,30,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,16.7,..,43.6,..,92.9,..,..,..,100.0,100.0,28,20,16.7,..,43.6,..,92.9,..,..,..,100.0,100.0,28,20
Mozambique,..,..,..,..,1195.1,..,..,..,97.2,84.9,52,37,..,..,..,..,1195.1,..,..,..,97.2,84.9,52,37
Myanmar,..,7.6,..,11.3,..,16.7,2.2,10.2,97.8,93.0,23,26,..,7.6,..,11.3,..,16.7,2.2,10.2,97.8,93.0,23,26
Namibia,19.8,..,32.4,..,140.3,..,..,..,..,..,..,..,19.8,..,32.4,..,140.3,..,..,..,..,..,..,..
Nepal,8.9,13.0,12.9,11.0,138.3,25.4,5.1,15.7,97.3,88.7,21,29,8.9,13.0,12.9,11.0,138.3,25.4,5.1,15.7,97.3,88.7,21,29
Netherlands,14.3,17.0,20.2,22.9,45.2,33.4,5.4,12.3,..,..,12,14,14.3,17.0,20.2,22.9,45.2,33.4,5.4,12.3,..,..,12,14
New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,17.4,19.1,21.6,20.8,..,26.6,6.3,16.6,..,..,15,14,17.4,19.1,21.6,20.8,..,26.6,6.3,16.6,..,..,15,14
Nicaragua,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..
Niger,..,13.1,..,16.0,..,258.6,3.5,13.3,66.0,10.6,36,30,..,13.1,..,16.0,..,258.6,3.5,13.3,66.0,10.6,36,30
Nigeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,..,..,..,..,..,..,..,..,..,..,14,9,..,..,..,..,..,..,..,..,..,..,14,9
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,21.4,21.5,29.8,26.4,44.9,37.3,7.6,15.7,..,..,9,9,21.4,21.5,29.8,26.4,44.9,37.3,7.6,15.7,..,..,9,9
Oman,10.7,30.6,21.6,34.9,55.6,42.5,6.7,15.3,100.0,100.0,10,10,10.7,30.6,21.6,34.9,55.6,42.5,6.7,15.3,100.0,100.0,10,10
Pakistan,..,9.6,..,10.9,..,28.0,2.8,13.8,82.5,..,45,19,..,9.6,..,10.9,..,28.0,2.8,13.8,82.5,..,45,19
Palau,..,..,..,..,65.0,..,..,..,..,..,..,..,..,..,..,..,65.0,..,..,..,..,..,..,..
Panama,13.3,..,18.5,..,32.6,..,..,..,99.2,60.4,21,15,13.3,..,18.5,..,32.6,..,..,..,99.2,60.4,21,15
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,36,34,..,..,..,..,..,..,..,..,..,..,36,34
Paraguay,11.6,15.1,15.8,15.5,50.4,..,4.5,..,..,..,..,..,11.6,15.1,15.8,15.5,50.4,..,4.5,..,..,..,..,..
Peru,8.4,11.8,10.3,15.3,..,10.6,3.9,18.2,97.4,90.5,18,15,8.4,11.8,10.3,15.3,..,10.6,3.9,18.2,97.4,90.5,18,15
Philippines,12.1,..,10.3,..,14.5,..,..,..,100.0,100.0,29,24,12.1,..,10.3,..,14.5,..,..,..,100.0,100.0,29,24
Poland,..,23.6,10.8,22.1,20.9,28.1,4.8,11.6,..,..,11,9,..,23.6,10.8,22.1,20.9,28.1,4.8,11.6,..,..,11,9
Portugal,18.7,22.5,26.4,27.7,27.0,26.5,4.9,10.2,..,..,13,10,18.7,22.5,26.4,27.7,27.0,26.5,4.9,10.2,..,..,13,10
Puerto Rico,..,..,..,..,..,..,..,..,92.6,84.0,14,17,..,..,..,..,..,..,..,..,92.6,84.0,14,17
Qatar,..,..,..,..,..,..,2.9,8.9,..,..,12,10,..,..,..,..,..,..,2.9,8.9,..,..,12,10
Romania,..,8.7,..,16.2,32.2,24.0,3.1,9.1,..,..,19,12,..,8.7,..,16.2,32.2,24.0,3.1,9.1,..,..,19,12
Russian Federation,..,..,..,..,11.0,18.7,3.8,10.9,..,..,21,..,..,..,..,..,11.0,18.7,3.8,10.9,..,..,21,..
Rwanda,11.1,5.6,42.3,38.0,1217.1,110.5,3.2,11.1,92.6,58.0,58,20,11.1,5.6,42.3,38.0,1217.1,110.5,3.2,11.1,92.6,58.0,58,20
Samoa,8.1,9.0,8.9,13.0,188.8,..,4.1,10.5,..,..,..,28,8.1,9.0,8.9,13.0,188.8,..,4.1,10.5,..,..,..,28
San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,..,..,..,..,..,..,4.9,18.4,27.4,36.4,31,25,..,..,..,..,..,..,4.9,18.4,27.4,36.4,31,25
Saudi Arabia,..,..,..,..,93.9,..,..,..,100.0,..,12,..,..,..,..,..,93.9,..,..,..,100.0,..,12,..
Senegal,11.7,15.7,35.3,15.2,..,190.6,6.2,21.6,74.8,76.7,33,19,11.7,15.7,35.3,15.2,..,190.6,6.2,21.6,74.8,76.7,33,19
Serbia,..,46.6,..,11.9,..,31.4,3.9,8.7,..,..,14,8,..,46.6,..,11.9,..,31.4,3.9,8.7,..,..,14,8
Seychelles,8.6,14.2,24.0,15.3,..,70.7,4.4,11.7,84.0,90.2,14,12,8.6,14.2,24.0,15.3,..,70.7,4.4,11.7,84.0,90.2,14,12
Sierra Leone,..,4.8,..,14.4,..,..,4.6,19.9,53.8,70.3,39,22,..,4.8,..,14.4,..,..,4.6,19.9,53.8,70.3,39,22
Singapore,..,..,..,..,..,..,..,..,99.0,99.0,15,12,..,..,..,..,..,..,..,..,99.0,99.0,15,12
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,10.0,20.8,18.1,19.2,32.3,26.8,4.6,10.3,..,..,15,11,10.0,20.8,18.1,19.2,32.3,26.8,4.6,10.3,..,..,15,11
Slovenia,25.7,24.5,25.1,23.9,27.3,22.5,4.9,11.2,..,..,14,10,25.7,24.5,25.1,23.9,27.3,22.5,4.9,11.2,..,..,14,10
Solomon Islands,..,..,..,..,..,..,..,..,74.1,76.5,26,..,..,..,..,..,..,..,..,..,74.1,76.5,26,..
Somalia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,14.7,17.6,20.7,19.5,..,46.8,6.1,18.7,..,100.0,30,27,14.7,17.6,20.7,19.5,..,46.8,6.1,18.7,..,100.0,30,27
South Sudan,..,5.1,..,13.2,..,..,1.0,1.1,..,..,47,27,..,5.1,..,13.2,..,..,1.0,1.1,..,..,47,27
Spain,17.7,17.3,24.1,18.5,19.4,22.9,4.3,9.8,..,..,13,12,17.7,17.3,24.1,18.5,19.4,22.9,4.3,9.8,..,..,13,12
